code,label,sources,files
0I34.00,HGV Driver,DialogAdd|PatientData,~V40017.htm|~V40018.htm
0I34.11,HGV driver,DialogAdd,~V4003f.htm|~V40633.htm
0I35.00,LGV Driver,DialogAdd|PatientData,~V40017.htm|~V40018.htm|~V4003f.htm|~V40633.htm
0I37.00,Motor car driver,DialogAdd|PatientData,~V40017.htm|~V40018.htm
12C2.00,IHD<60,DialogAdd,CFEXAM.htm|~V40024.htm
12C3.00,IHD,DialogAdd,CFEXAM.htm|~V40024.htm
12C4.00,Stroke,DialogAdd,~V40024.htm
12C5.00,MI,DialogAdd,~V40024.htm
133A,,PatientData,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V4060f.htm|~V40611.htm|~V40624.htm
133A.00,Student,DialogAdd,~V0.htm|~V40019.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V4060f.htm|~V40611.htm|~V40624.htm
136K.00,Alcohol intake above rec limit,DialogAdd|PatientData,~V40017.htm|~V40019.htm|~V4001a.htm|~V40022.htm|~V40024.htm
136L.00,Alcohol intake within rec limit,DialogAdd,~V40019.htm|~V40022.htm|~V40024.htm
136M.00,Current non drinker,DialogAdd,~V40019.htm
136S,,PatientData,~V40017.htm
136S.00,Hazardous Alcohol use,DialogAdd|PatientData,~V40015.htm|~V40017.htm
136V.00,Alcohol units per week,DialogAdd,~V40019.htm
137H.00,Pipe Smoker,DialogAdd,~V0.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V4003a.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm|~V4063b.htm
137J.00,Cigar Smoker,DialogAdd,~V0.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V4003a.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm|~V4063b.htm
137K.00,"Not Smoking, self reported",DialogAdd,~V0.htm|~V40032.htm|~V40034.htm|~V40036.htm|~V4060f.htm|~V40611.htm|~V40624.htm
137P.00,Cigarette Smoker,DialogAdd,~V0.htm|~V40019.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V4003a.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm|~V4063b.htm
137R.00,Current Smoker,DialogAdd,~V40019.htm|~V40022.htm|~V40024.htm
137S.00,Ex Smoker,DialogAdd,~V0.htm|~V40019.htm|~V40022.htm|~V40024.htm|~V40032.htm|~V40033.htm|~V40034.htm|~V40036.htm|~V4003a.htm|~V4060f.htm|~V40611.htm|~V40612.htm|~V40624.htm|~V4063b.htm
